user_uuid,platform_uuid
2700811a-d747-4e99-ab99-5b7d0181e290,aaaaaaa1-aaaa-aaaa-aaaa-aaaaaaaaaaa1
2700811a-d747-4e99-ab99-5b7d0181e290,aaaaaaa3-aaaa-aaaa-aaaa-aaaaaaaaaaa3
adaf9096-a54f-45b5-96b1-81d23b806c26,aaaaaaa2-aaaa-aaaa-aaaa-aaaaaaaaaaa2
adaf9096-a54f-45b5-96b1-81d23b806c26,aaaaaaa4-aaaa-aaaa-aaaa-aaaaaaaaaaa4
231d54e9-d733-44e5-a091-f02c3bfdfb47,aaaaaaa1-aaaa-aaaa-aaaa-aaaaaaaaaaa1
231d54e9-d733-44e5-a091-f02c3bfdfb47,aaaaaaa2-aaaa-aaaa-aaaa-aaaaaaaaaaa2
231d54e9-d733-44e5-a091-f02c3bfdfb47,aaaaaaa3-aaaa-aaaa-aaaa-aaaaaaaaaaa3
571b5009-543e-4c1d-8b86-bdf13edaf252,aaaaaaa4-aaaa-aaaa-aaaa-aaaaaaaaaaa4
4ecf30c7-6079-42f5-97b2-439904b7130e,aaaaaaa1-aaaa-aaaa-aaaa-aaaaaaaaaaa1
4ecf30c7-6079-42f5-97b2-439904b7130e,aaaaaaa2-aaaa-aaaa-aaaa-aaaaaaaaaaa2
23a4b216-15da-4556-9183-1e671ea89d57,aaaaaaa3-aaaa-aaaa-aaaa-aaaaaaaaaaa3
5443e859-0673-42ed-9fa2-86385655373f,aaaaaaa1-aaaa-aaaa-aaaa-aaaaaaaaaaa1
5443e859-0673-42ed-9fa2-86385655373f,aaaaaaa2-aaaa-aaaa-aaaa-aaaaaaaaaaa2
5443e859-0673-42ed-9fa2-86385655373f,aaaaaaa3-aaaa-aaaa-aaaa-aaaaaaaaaaa3
5443e859-0673-42ed-9fa2-86385655373f,aaaaaaa4-aaaa-aaaa-aaaa-aaaaaaaaaaa4
c4722e6f-76f9-4a45-8034-8abf5d2a4377,aaaaaaa2-aaaa-aaaa-aaaa-aaaaaaaaaaa2
3a548452-4da4-4a92-9c5a-aa6f5e15d7bf,aaaaaaa1-aaaa-aaaa-aaaa-aaaaaaaaaaa1
