user_uuid,platform_uuid
ab1dede3-2c04-4815-a82c-a2f7cec388ed,aaaaaaa1-aaaa-aaaa-aaaa-aaaaaaaaaaa1
ab1dede3-2c04-4815-a82c-a2f7cec388ed,aaaaaaa3-aaaa-aaaa-aaaa-aaaaaaaaaaa3
d76d9702-e2ef-417d-aece-880403044ef5,aaaaaaa2-aaaa-aaaa-aaaa-aaaaaaaaaaa2
d76d9702-e2ef-417d-aece-880403044ef5,aaaaaaa4-aaaa-aaaa-aaaa-aaaaaaaaaaa4
e58c9093-cae1-40bb-af29-0394d90bd9fd,aaaaaaa1-aaaa-aaaa-aaaa-aaaaaaaaaaa1
e58c9093-cae1-40bb-af29-0394d90bd9fd,aaaaaaa2-aaaa-aaaa-aaaa-aaaaaaaaaaa2
e58c9093-cae1-40bb-af29-0394d90bd9fd,aaaaaaa3-aaaa-aaaa-aaaa-aaaaaaaaaaa3
29f4ab3d-3272-4698-8f71-79e6ff9a80b9,aaaaaaa4-aaaa-aaaa-aaaa-aaaaaaaaaaa4
d630cf26-1b13-4c1a-9274-34dcc3b65448,aaaaaaa1-aaaa-aaaa-aaaa-aaaaaaaaaaa1
d630cf26-1b13-4c1a-9274-34dcc3b65448,aaaaaaa2-aaaa-aaaa-aaaa-aaaaaaaaaaa2
d4de4dc1-9a68-45cf-b0ee-314c91f7b89a,aaaaaaa3-aaaa-aaaa-aaaa-aaaaaaaaaaa3
c2c4f9ce-6dc2-43cf-984c-f20fc0744f3f,aaaaaaa1-aaaa-aaaa-aaaa-aaaaaaaaaaa1
c2c4f9ce-6dc2-43cf-984c-f20fc0744f3f,aaaaaaa2-aaaa-aaaa-aaaa-aaaaaaaaaaa2
c2c4f9ce-6dc2-43cf-984c-f20fc0744f3f,aaaaaaa3-aaaa-aaaa-aaaa-aaaaaaaaaaa3
c2c4f9ce-6dc2-43cf-984c-f20fc0744f3f,aaaaaaa4-aaaa-aaaa-aaaa-aaaaaaaaaaa4
9bfab670-6278-4b19-80f7-38634a836fbd,aaaaaaa2-aaaa-aaaa-aaaa-aaaaaaaaaaa2
889ad513-358f-496c-89eb-7a6d8721676e,aaaaaaa1-aaaa-aaaa-aaaa-aaaaaaaaaaa1
889ad513-358f-496c-89eb-7a6d8721676e,aaaaaaa3-aaaa-aaaa-aaaa-aaaaaaaaaaa3
889ad513-358f-496c-89eb-7a6d8721676e,aaaaaaa4-aaaa-aaaa-aaaa-aaaaaaaaaaa4
5424a7b6-3308-43c7-a952-ab822532c403,aaaaaaa2-aaaa-aaaa-aaaa-aaaaaaaaaaa2
7146611d-6612-49a5-9d69-ba14f76a81f8,aaaaaaa1-aaaa-aaaa-aaaa-aaaaaaaaaaa1
7146611d-6612-49a5-9d69-ba14f76a81f8,aaaaaaa4-aaaa-aaaa-aaaa-aaaaaaaaaaa4
95f4d1e9-5738-41ae-908c-b2f9248a4378,aaaaaaa3-aaaa-aaaa-aaaa-aaaaaaaaaaa3
2da4ce6c-305b-47dc-9acd-16e0c652cba4,aaaaaaa1-aaaa-aaaa-aaaa-aaaaaaaaaaa1
2da4ce6c-305b-47dc-9acd-16e0c652cba4,aaaaaaa2-aaaa-aaaa-aaaa-aaaaaaaaaaa2
2da4ce6c-305b-47dc-9acd-16e0c652cba4,aaaaaaa3-aaaa-aaaa-aaaa-aaaaaaaaaaa3
6c71a566-38f6-4bfd-a215-4e57286ae4ba,aaaaaaa4-aaaa-aaaa-aaaa-aaaaaaaaaaa4
6005dab9-b02b-4e9a-bbd5-fe5d5d85b5e4,aaaaaaa1-aaaa-aaaa-aaaa-aaaaaaaaaaa1
6005dab9-b02b-4e9a-bbd5-fe5d5d85b5e4,aaaaaaa3-aaaa-aaaa-aaaa-aaaaaaaaaaa3
0f358072-d3e9-44f2-82ca-f83ff639ddb2,aaaaaaa2-aaaa-aaaa-aaaa-aaaaaaaaaaa2
0f358072-d3e9-44f2-82ca-f83ff639ddb2,aaaaaaa4-aaaa-aaaa-aaaa-aaaaaaaaaaa4
09e1fcf8-f4b0-419d-b690-0f05dcbeb8b0,aaaaaaa1-aaaa-aaaa-aaaa-aaaaaaaaaaa1
cf078959-9cd2-49f8-8cf9-ebaf897184a6,aaaaaaa2-aaaa-aaaa-aaaa-aaaaaaaaaaa2
cf078959-9cd2-49f8-8cf9-ebaf897184a6,aaaaaaa3-aaaa-aaaa-aaaa-aaaaaaaaaaa3
cf078959-9cd2-49f8-8cf9-ebaf897184a6,aaaaaaa4-aaaa-aaaa-aaaa-aaaaaaaaaaa4
be589c5d-bb2c-4fd0-86d0-8fdd419d7599,aaaaaaa1-aaaa-aaaa-aaaa-aaaaaaaaaaa1
be589c5d-bb2c-4fd0-86d0-8fdd419d7599,aaaaaaa3-aaaa-aaaa-aaaa-aaaaaaaaaaa3
8d227486-623f-45a7-be75-327639406408,aaaaaaa2-aaaa-aaaa-aaaa-aaaaaaaaaaa2
d285fb21-76e5-40a1-9061-291e3f4cbbc8,aaaaaaa1-aaaa-aaaa-aaaa-aaaaaaaaaaa1
d285fb21-76e5-40a1-9061-291e3f4cbbc8,aaaaaaa2-aaaa-aaaa-aaaa-aaaaaaaaaaa2
d285fb21-76e5-40a1-9061-291e3f4cbbc8,aaaaaaa4-aaaa-aaaa-aaaa-aaaaaaaaaaa4
00a48080-8225-432d-8fe2-ffd4402f0891,aaaaaaa3-aaaa-aaaa-aaaa-aaaaaaaaaaa3
a95c6a54-629a-4f3f-a7e0-2524cf818e92,aaaaaaa1-aaaa-aaaa-aaaa-aaaaaaaaaaa1
9fa369bf-d4dd-42be-a4bb-a8c5cbc7abac,aaaaaaa2-aaaa-aaaa-aaaa-aaaaaaaaaaa2
9fa369bf-d4dd-42be-a4bb-a8c5cbc7abac,aaaaaaa3-aaaa-aaaa-aaaa-aaaaaaaaaaa3
9fa369bf-d4dd-42be-a4bb-a8c5cbc7abac,aaaaaaa4-aaaa-aaaa-aaaa-aaaaaaaaaaa4
3fab0b93-c823-4e96-a5a3-e6a5819594a9,aaaaaaa1-aaaa-aaaa-aaaa-aaaaaaaaaaa1
7976e9cd-8a64-4950-933e-72c8d60eb0c6,aaaaaaa2-aaaa-aaaa-aaaa-aaaaaaaaaaa2
7976e9cd-8a64-4950-933e-72c8d60eb0c6,aaaaaaa4-aaaa-aaaa-aaaa-aaaaaaaaaaa4
9a4d23ef-ec34-425c-9287-195e23bfa6f8,aaaaaaa3-aaaa-aaaa-aaaa-aaaaaaaaaaa3
a3ac474d-81c5-4b3f-9b7a-cf5bcd98fc2e,aaaaaaa1-aaaa-aaaa-aaaa-aaaaaaaaaaa1
